COLLECTION_ID,FROG_ID,GOSNER_STAGE,SVL,TAIL_LENGTH,FROG_COMMENTS,ABNORMAL,BLEEDING_INJ,SKEL_AB,EYE_AB,SURF_AB,Perkensus,SITE,DATE,YEAR
KNA1081-RASY-073012,56,46,20,0,"right hind foot missing below ankle, 2mm present; right forelimb appears broken with redness on upper arm (humerus)",1,1,1,0,0,0,KNA1081,7/30/2012,2012
KNA1081-RASY-073012,26,45,20,1,right hind foot missing below ankle; left forelimb missing at elbow; both open wounds,1,1,1,0,0,0,KNA1081,7/30/2012,2012
KNA1081-RASY-073012,43,44,20,24,"right hind limb is <5mm in length- all parts are present, unclear if all digits on foot are developed",1,0,1,0,0,0,KNA1081,7/30/2012,2012
KNA1006-RASY-071912,51,43,17,31,right hind limb missing,1,0,1,0,0,0,KPB1006,7/19/2012,2012
KNA1031-RASY-072912,50,42,17,30,right hind limb missing,1,0,1,0,0,0,KPB1031,7/29/2012,2012
KNA1031-RASY-072912,55,42,16,35,right hind limb missing,1,0,1,0,0,0,KPB1031,7/29/2012,2012
KNA90-RASY-072312,57,43,16,30,right hind limb smaller than left,1,0,1,0,0,0,KNA90,7/23/2012,2012
KNA215-RASY-073112,52,42,20,37,"right leg ~10mm long, unclear if all digits are differentiated",1,0,1,0,0,0,KNA215,7/31/2012,2012
KNA1024-RASY-080812,46,45,21,1,"Right leg is less than half the size of the left, calf and foot are not fully developed, only 4 digits differentiated.",1,0,1,0,0,0,KNA1024,8/8/2012,2012
KNA1062-RASY-081012,48,46,18,0,"Right leg missing just below knee joint; <1mm of calf present, no open wound.",1,0,1,0,0,0,KNA1062,8/10/2012,2012
KNA1024-RASY-080812,49,44,20,12,"Right thigh is comparable size to left, calf and foot are slightly smaller with 3 digits distinguishable.",1,0,1,0,0,0,KNA1024,8/8/2012,2012
KNA1057-RASY-081012,22,44,19,16,"Right thigh is slightly smaller than left, calf is thinner and foot is less than half the size of the left; all 5 digits are differentiated but small and twisted.",1,0,1,0,0,0,KPB1057,8/10/2012,2012
KNA08-RASY-080112,11,46,20,0,Shipped for Disease Diagnosis (genetic analysis),0,0,0,0,0,0,KNA08,8/1/2012,2012
KNA1031-RASY-072912,17,43,17,25,"there is a 2mm long appendage of soft tissue on the right, but not fully formed femur (no bone)",1,0,1,0,0,0,KPB1031,7/29/2012,2012
KNA1084-RASY-072812,45,43,22,34,toes on left hind foot are present and normal size but curled and do not appear to be working,1,0,1,0,0,0,KNA1084,7/28/2012,2012
KNA01-RASY-080112,1,46,22,0,,0,0,0,0,0,0,KNA01,8/1/2012,2012
KNA01-RASY-080112,2,43,18,35,,0,0,0,0,0,0,KNA01,8/1/2012,2012
KNA01-RASY-080112,3,46,23,0,,0,0,0,0,0,0,KNA01,8/1/2012,2012
KNA01-RASY-080112,4,44,20,8,,0,0,0,0,0,0,KNA01,8/1/2012,2012
KNA01-RASY-080112,5,45,21,2,,0,0,0,0,0,0,KNA01,8/1/2012,2012
KNA01-RASY-080112,7,42,20,33,,0,0,0,0,0,0,KNA01,8/1/2012,2012
KNA01-RASY-080112,8,46,22,0,,0,0,0,0,0,0,KNA01,8/1/2012,2012
KNA01-RASY-080112,9,44,21,6,,0,0,0,0,0,0,KNA01,8/1/2012,2012
KNA01-RASY-080112,10,45,22,2,,0,0,0,0,0,0,KNA01,8/1/2012,2012
KNA01-RASY-080112,11,42,20,35,,0,0,0,0,0,0,KNA01,8/1/2012,2012
KNA01-RASY-080112,12,42,19,35,,0,0,0,0,0,0,KNA01,8/1/2012,2012
KNA01-RASY-080112,13,43,19,30,,0,0,0,0,0,0,KNA01,8/1/2012,2012
KNA01-RASY-080112,15,46,20,0,,0,0,0,0,0,0,KNA01,8/1/2012,2012
KNA01-RASY-080112,16,43,22,28,,0,0,0,0,0,0,KNA01,8/1/2012,2012
KNA01-RASY-080112,17,45,20,3,,0,0,0,0,0,0,KNA01,8/1/2012,2012
KNA01-RASY-080112,18,42,19,37,,0,0,0,0,0,0,KNA01,8/1/2012,2012
KNA01-RASY-080112,19,44,21,27,,0,0,0,0,0,0,KNA01,8/1/2012,2012
KNA01-RASY-080112,20,45,21,5,,0,0,0,0,0,0,KNA01,8/1/2012,2012
KNA01-RASY-080112,21,42,20,34,,0,0,0,0,0,0,KNA01,8/1/2012,2012
KNA01-RASY-080112,23,44,19,12,,0,0,0,0,0,0,KNA01,8/1/2012,2012
KNA01-RASY-080112,24,45,20,21,,0,0,0,0,0,0,KNA01,8/1/2012,2012
KNA01-RASY-080112,25,43,18,26,,0,0,0,0,0,0,KNA01,8/1/2012,2012
KNA01-RASY-080112,26,45,19,3,,0,0,0,0,0,0,KNA01,8/1/2012,2012
KNA01-RASY-080112,27,45,20,5,,0,0,0,0,0,0,KNA01,8/1/2012,2012
KNA01-RASY-080112,28,43,20,36,,0,0,0,0,0,0,KNA01,8/1/2012,2012
KNA01-RASY-080112,29,45,21,1,,0,0,0,0,0,0,KNA01,8/1/2012,2012
KNA01-RASY-080112,31,43,20,34,,0,0,0,0,0,0,KNA01,8/1/2012,2012
KNA01-RASY-080112,32,43,16,19,,0,0,0,0,0,0,KNA01,8/1/2012,2012
KNA01-RASY-080112,33,43,19,27,,0,0,0,0,0,0,KNA01,8/1/2012,2012
KNA01-RASY-080112,34,45,20,2,,0,0,0,0,0,0,KNA01,8/1/2012,2012
KNA01-RASY-080112,35,43,18,35,,0,0,0,0,0,0,KNA01,8/1/2012,2012
KNA01-RASY-080112,36,42,20,37,,0,0,0,0,0,0,KNA01,8/1/2012,2012
KNA01-RASY-080112,37,46,20,0,,0,0,0,0,0,0,KNA01,8/1/2012,2012
KNA01-RASY-080112,38,44,20,25,,0,0,0,0,0,0,KNA01,8/1/2012,2012
KNA01-RASY-080112,39,43,19,26,,0,0,0,0,0,0,KNA01,8/1/2012,2012
KNA01-RASY-080112,40,46,19,0,,0,0,0,0,0,0,KNA01,8/1/2012,2012
KNA01-RASY-080112,41,43,19,32,,0,0,0,0,0,0,KNA01,8/1/2012,2012
KNA02-RASY-072812,1,46,19,0,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,2,46,17,0,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,3,42,17,28,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,4,43,17,26,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,5,43,16,26,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,7,43,17,25,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,8,44,17,14,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,9,44,18,21,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,10,42,17,25,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,11,42,17,22,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,12,45,18,2,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,13,44,17,25,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,14,42,18,29,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,15,44,18,12,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,16,42,20,30,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,17,44,18,28,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,18,42,18,28,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,19,44,17,10,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,20,45,18,1,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,21,44,18,9,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,22,44,17,25,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,23,43,18,22,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,24,43,19,24,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,25,44,17,21,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,26,43,18,21,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,27,43,19,28,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,29,43,17,25,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,30,42,17,25,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,31,44,18,16,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,32,43,17,25,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,33,42,20,22,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,34,44,18,22,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,35,44,18,24,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,36,42,18,25,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,37,43,17,27,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,38,44,17,31,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,39,42,17,28,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,40,42,17,21,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,41,43,18,29,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,42,43,17,25,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,43,42,18,24,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,45,44,19,17,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,46,42,18,27,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,47,44,17,22,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,48,43,18,23,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,49,43,18,27,,0,0,0,0,0,0,KNA02,7/28/2012,2012
